iter	MAE	RMSE
329	0.5580644619	0.7539164808
330	0.5579444651	0.7537526053
331	0.5578202899	0.7535698599
332	0.5574581074	0.7531593403
333	0.5573819107	0.7530757995
334	0.557253514	0.7529002994
335	0.5570418555	0.7527260586
336	0.5568644502	0.7524738872
337	0.5568171689	0.7524468548
338	0.5566488246	0.7522295292
339	0.5564803071	0.7520780921
340	0.5562100406	0.7518154468
341	0.5559318185	0.7515902312
342	0.5557556931	0.7513573827
343	0.5555440715	0.7512109438
344	0.5555014106	0.7511864848
345	0.5553397069	0.7509984205
346	0.5550243445	0.7504987515
347	0.5547094082	0.7502147665
348	0.5544719225	0.7498961539
349	0.5543917494	0.7497625785
350	0.5542836469	0.7496121857
351	0.5540806181	0.7493026231
352	0.5540804054	0.7493026077
353	0.5538748432	0.7491136762
354	0.553500392	0.7487077272
355	0.5534451479	0.7486347709
356	0.5533225005	0.7485089656
357	0.5532210243	0.7483607147
358	0.5530716239	0.7482261548
359	0.5530682622	0.7482165496
360	0.5530193884	0.7481471863
361	0.5530146863	0.7481330252
362	0.5529559966	0.748049154
363	0.5527636675	0.7478040365
364	0.5525760839	0.7476473272
365	0.552365806	0.7474104162
366	0.552158938	0.7471455144
367	0.5521043906	0.7469991434
368	0.5519342401	0.7468419228
369	0.5517816374	0.7466943242
370	0.5515592284	0.746460584
371	0.5514978897	0.746404836
372	0.5514099904	0.7462679391
373	0.5513258412	0.7461523616
374	0.5511654614	0.745955775
375	0.5511267021	0.7458906362
376	0.5509647399	0.7457084888
377	0.5508970254	0.745614659
378	0.5508334984	0.7455389501
379	0.5507554221	0.7454738059
380	0.5506224413	0.7453200119
381	0.5505064119	0.7451952757
382	0.5503776022	0.7449850045
383	0.5503776	0.7449841956
384	0.5502111444	0.7447838736
385	0.5500302927	0.7445667286
386	0.5497187862	0.7441892928
387	0.5495323716	0.7439611851
388	0.5492253364	0.7436956873
389	0.5490646223	0.7435281952
390	0.5489567714	0.7434077498
391	0.5488777542	0.74328278
392	0.5487513619	0.7430819533
393	0.5485766798	0.7429608071
394	0.5483121558	0.7427164261
395	0.5480864362	0.7423444918
396	0.5479050534	0.7421535342
397	0.5478204478	0.7419809407
398	0.5476753551	0.7418576335
399	0.5476704774	0.7418469337
400	0.5476704764	0.7418461005
401	0.5475277661	0.7416879713
402	0.5475277264	0.7416879554
403	0.5473148141	0.7414460668
404	0.5472910108	0.7414138657
405	0.5471610758	0.7412844075
406	0.5471610242	0.7412843928
407	0.5470728428	0.7411798965
408	0.5468580062	0.7409398713
409	0.5468139078	0.7408918878
410	0.5465849537	0.7406537063
411	0.5464752445	0.7405443284
412	0.546375114	0.7404319014
413	0.5462367364	0.740297433
414	0.5461006697	0.7401748638
415	0.5460494667	0.7400691995
416	0.5459698593	0.7399463663
417	0.5458728293	0.7398218092
418	0.5457754858	0.739730993
419	0.5457754872	0.7397302097
420	0.545647892	0.7396018422
421	0.5454775846	0.7394260801
422	0.5453836117	0.7393012587
423	0.5453389307	0.7392614477
424	0.5452788372	0.7391994864
425	0.5450871833	0.7389495452
426	0.5449309681	0.7387847752
427	0.5447476324	0.7385655604
428	0.5446173296	0.7384129345
429	0.544412519	0.7382313255
430	0.5442212603	0.738019458
431	0.5440287328	0.7378130568
432	0.543868296	0.7376057855
433	0.5437235805	0.7374704051
434	0.5436082313	0.737329208
435	0.5434950819	0.737211678
436	0.5433413525	0.7369934114
437	0.5432890987	0.7368915566
438	0.5431736816	0.7367246487
439	0.5430591268	0.7365702949
440	0.5429457696	0.7364198972
441	0.5427661459	0.7361960228
442	0.5426624644	0.7360060748
443	0.5425417832	0.7359166513
444	0.5422581977	0.7356284111
445	0.5420509781	0.7353969374
446	0.5418775905	0.735141621
447	0.5417522938	0.7349665482
448	0.5416047152	0.7347297388
449	0.5415204946	0.7346475883
450	0.5412486159	0.7342995641
451	0.5412076363	0.7342408855
452	0.5410389461	0.7341180417
453	0.541034568	0.7341157596
454	0.5410323574	0.7341075186
455	0.5408942452	0.7338937555
456	0.5408570468	0.7338190568
457	0.5406438424	0.7334846602
458	0.5406358376	0.7334758968
459	0.5405193932	0.733347867
460	0.5403793199	0.7331968931
461	0.5403573204	0.7331553291
462	0.5402522465	0.7329905973
463	0.5401230035	0.7328257737
464	0.5399049728	0.7325449745
465	0.5398352684	0.7324852239
466	0.5396913128	0.7323660997
467	0.5394690741	0.7321388791
468	0.5394690741	0.7321380833
469	0.5393340213	0.7320157215
470	0.5391903972	0.7318297926
471	0.5390484392	0.7317411366
472	0.5388759799	0.7314700277
473	0.5387840759	0.7313653306
474	0.5386825049	0.7312399516
475	0.5384417011	0.730959899
476	0.5382219748	0.7306890532
477	0.5381710732	0.730602178
