iter	Passed	Remaining
764	30837	49783
765	30875	49739
766	30911	49692
767	30950	49649
768	30989	49607
769	31033	49573
770	31067	49522
771	31104	49476
772	31146	49439
773	31191	49407
774	31229	49363
775	31266	49317
776	31303	49271
777	31340	49226
778	31378	49182
779	31415	49136
780	31453	49093
781	31490	49048
782	31526	49001
783	31573	48971
784	31610	48925
785	31622	48842
786	31657	48793
787	31691	48744
788	31728	48698
789	31765	48653
790	31816	48629
791	31850	48580
792	31888	48536
793	31927	48494
794	31965	48450
795	32004	48408
796	32042	48364
797	32083	48326
798	32118	48278
799	32155	48233
800	32201	48201
801	32212	48118
802	32250	48074
803	32285	48026
804	32325	47986
805	32363	47942
806	32397	47894
807	32433	47848
808	32468	47799
809	32504	47753
810	32544	47713
811	32592	47684
812	32655	47677
813	32693	47634
814	32731	47591
815	32770	47549
816	32812	47511
817	32867	47492
818	32905	47449
819	32939	47400
820	32974	47353
821	33010	47306
822	33044	47258
823	33080	47211
824	33115	47164
825	33151	47118
826	33188	47073
827	33233	47041
828	33272	46998
829	33309	46955
830	33343	46905
831	33378	46858
832	33416	46815
833	33449	46765
834	33485	46719
835	33520	46671
836	33564	46637
837	33612	46608
838	33678	46604
839	33728	46577
840	33777	46549
841	33827	46522
842	33914	46546
843	33967	46524
844	34004	46479
845	34038	46431
846	34074	46384
847	34112	46342
848	34146	46292
849	34179	46242
850	34217	46199
851	34253	46153
852	34303	46127
853	34342	46085
854	34381	46043
855	34424	46007
856	34468	45971
857	34509	45931
858	34546	45888
859	34594	45857
860	34634	45817
861	34686	45792
862	34724	45749
863	34758	45700
864	34793	45653
865	34834	45614
866	34876	45577
867	34945	45574
868	34984	45532
869	35023	45490
870	35062	45448
871	35099	45404
872	35136	45358
873	35171	45312
874	35206	45265
875	35243	45221
876	35279	45175
877	35328	45146
878	35365	45102
879	35401	45056
880	35441	45015
881	35478	44971
882	35514	44926
883	35551	44882
884	35589	44838
885	35625	44793
886	35661	44747
887	35697	44702
888	35743	44668
889	35779	44623
890	35814	44577
891	35851	44533
892	35890	44491
893	35999	44536
894	36037	44493
895	36073	44447
896	36111	44404
897	36145	44356
898	36182	44312
899	36228	44278
900	36272	44244
901	36316	44207
902	36375	44190
903	36421	44156
904	36456	44110
905	36491	44063
906	36533	44025
907	36579	43992
908	36620	43953
909	36655	43905
910	36696	43867
911	36734	43824
912	36780	43790
913	36821	43750
914	36860	43708
915	36897	43664
916	36934	43620
917	36969	43573
918	37007	43531
919	37060	43505
920	37096	43460
921	37130	43412
922	37165	43366
923	37200	43320
924	37244	43283
925	37278	43236
926	37313	43190
927	37351	43147
928	37388	43103
929	37438	43074
930	37474	43029
931	37509	42983
932	37545	42937
933	37580	42892
934	37616	42846
935	37651	42800
936	37685	42753
937	37720	42707
938	37759	42665
939	37799	42625
940	37847	42593
941	37881	42546
942	37916	42500
943	37955	42459
944	37994	42417
945	38029	42371
946	38077	42340
947	38111	42292
948	38149	42250
949	38186	42205
950	38222	42161
951	38257	42114
952	38296	42074
953	38333	42029
954	38369	41985
955	38404	41939
956	38450	41905
957	38492	41868
958	38535	41830
959	38574	41789
960	38615	41749
961	38653	41706
962	38692	41665
963	38730	41622
964	38766	41578
965	38801	41533
966	38836	41486
967	38881	41452
968	38917	41407
969	38951	41361
970	38988	41317
971	39024	41273
972	39061	41229
973	39122	41211
974	39162	41170
975	39201	41128
976	39241	41088
977	39274	41041
978	39310	40996
979	39346	40952
980	39381	40906
981	39416	40861
982	39455	40819
983	39497	40781
984	39534	40738
985	39570	40694
986	39605	40648
987	39647	40610
988	39687	40570
989	39729	40531
990	39775	40498
991	39821	40463
992	39871	40433
993	39938	40420
994	39987	40389
995	40036	40358
996	40086	40327
997	40158	40319
998	40213	40293
999	40262	40262
1000	40307	40227
1001	40346	40185
1002	40387	40146
1003	40425	40103
1004	40462	40060
1005	40507	40024
1006	40547	39983
1007	40583	39939
1008	40620	39895
1009	40656	39851
1010	40696	39810
1011	40735	39769
1012	40773	39727
1013	40810	39684
1014	40848	39640
1015	40883	39596
1016	40929	39561
1017	40971	39522
1018	41009	39480
1019	41049	39440
1020	41088	39398
1021	41126	39356
1022	41181	39330
1023	41219	39287
1024	41265	39252
1025	41318	39224
1026	41368	39193
1027	41405	39150
1028	41451	39115
1029	41499	39081
1030	41565	39065
1031	41616	39035
1032	41666	39004
1033	41719	38975
1034	41770	38945
1035	41823	38916
1036	41872	38884
1037	41922	38852
1038	41971	38820
1039	42006	38775
1040	42039	38728
1041	42081	38688
1042	42130	38656
1043	42226	38667
1044	42265	38625
1045	42302	38582
1046	42341	38539
1047	42378	38496
1048	42412	38449
1049	42448	38406
1050	42485	38362
1051	42525	38321
1052	42576	38290
1053	42618	38251
1054	42655	38208
1055	42696	38168
1056	42736	38127
1057	42771	38082
1058	42808	38038
1059	42847	37996
1060	42888	37956
1061	42925	37913
1062	42961	37868
1063	43004	37831
1064	43040	37787
1065	43077	37743
1066	43116	37701
1067	43154	37658
1068	43189	37614
1069	43231	37574
1070	43293	37553
1071	43333	37512
1072	43371	37470
1073	43420	37437
1074	43455	37392
1075	43491	37347
1076	43526	37302
1077	43563	37259
1078	43598	37214
1079	43634	37170
1080	43671	37126
1081	43705	37081
1082	43740	37036
1083	43776	36992
1084	43820	36954
1085	43856	36910
1086	43891	36865
1087	43927	36821
1088	43962	36777
1089	43997	36731
1090	44032	36687
1091	44068	36643
1092	44104	36599
1093	44140	36555
1094	44175	36510
1095	44220	36474
1096	44259	36432
1097	44333	36419
1098	44370	36376
1099	44408	36334
1100	44448	36293
1101	44488	36253
1102	44525	36210
1103	44558	36163
1104	44591	36116
1105	44630	36075
1106	44691	36052
1107	44845	36102
1108	44964	36125
1109	45012	36091
1110	45060	36056
1111	45097	36013
1112	45144	35977
1113	45193	35944
1114	45251	35917
1115	45296	35879
1116	45371	35866
1117	45419	35831
1118	45470	35799
1119	45520	35765
1120	45559	35724
1121	45601	35684
1122	45659	35657
1123	45704	35620
1124	45761	35592
1125	45801	35550
1126	45842	35510
1127	45886	35472
1128	45934	35437
1129	45975	35397
1130	46012	35353
1131	46051	35311
1132	46093	35271
1133	46133	35231
1134	46182	35196
1135	46218	35152
1136	46268	35118
1137	46314	35081
1138	46350	35037
1139	46419	35018
1140	46455	34974
1141	46492	34930
1142	46532	34889
1143	46575	34850
1144	46620	34812
1145	46665	34775
1146	46702	34731
1147	46743	34691
1148	46794	34658
1149	46832	34615
1150	46866	34569
1151	46911	34532
1152	46952	34491
1153	46995	34452
1154	47032	34408
1155	47070	34366
1156	47108	34323
1157	47145	34280
1158	47189	34242
1159	47238	34206
1160	47279	34166
1161	47320	34126
1162	47360	34084
1163	47393	34038
1164	47454	34012
1165	47492	33969
1166	47530	33927
1167	47568	33884
1168	47607	33842
1169	47645	33799
1170	47684	33757
1171	47722	33715
1172	47763	33674
1173	47802	33632
1174	47852	33598
1175	47892	33557
1176	47930	33514
1177	47969	33472
1178	48007	33430
1179	48047	33388
1180	48091	33350
1181	48127	33306
1182	48164	33263
1183	48202	33220
1184	48250	33184
1185	48295	33146
1186	48333	33104
1187	48373	33063
1188	48413	33022
1189	48450	32978
1190	48508	32950
1191	48552	32911
1192	48593	32870
1193	48637	32832
1194	48678	32791
1195	48717	32749
1196	48758	32709
1197	48797	32667
1198	48838	32627
1199	48888	32592
1200	48924	32548
1201	48966	32508
1202	49002	32464
1203	49039	32421
1204	49077	32378
1205	49118	32338
1206	49160	32298
1207	49197	32255
1208	49242	32217
1209	49283	32176
1210	49324	32136
1211	49364	32094
1212	49416	32061
1213	49465	32025
1214	49503	31983
1215	49558	31952
1216	49600	31912
1217	49637	31869
1218	49677	31828
1219	49714	31784
1220	49755	31744
1221	49793	31701
1222	49835	31661
1223	49875	31620
1224	49916	31579
1225	49958	31539
1226	49996	31497
1227	50031	31452
1228	50067	31409
1229	50104	31366
1230	50146	31326
1231	50187	31285
1232	50225	31243
1233	50263	31200
1234	50304	31160
1235	50360	31128
1236	50400	31087
1237	50435	31043
1238	50475	31002
1239	50513	30959
1240	50573	30930
1241	50606	30885
1242	50648	30845
1243	50698	30810
1244	50746	30773
1245	50801	30742
1246	50844	30702
1247	50885	30661
1248	50923	30619
1249	50972	30583
1250	51008	30540
1251	51044	30496
1252	51083	30454
1253	51122	30412
1254	51156	30367
1255	51198	30327
1256	51240	30287
1257	51281	30247
1258	51321	30205
1259	51368	30168
1260	51407	30127
1261	51442	30083
1262	51481	30040
1263	51521	29999
1264	51559	29957
1265	51614	29924
1266	51652	29882
1267	51691	29840
1268	51735	29801
1269	51777	29762
1270	51817	29720
1271	51857	29679
1272	51894	29636
1273	51932	29594
1274	51968	29550
1275	52014	29512
1276	52058	29473
1277	52097	29432
1278	52139	29392
1279	52178	29350
1280	52214	29306
1281	52252	29264
1282	52290	29222
1283	52328	29180
1284	52370	29140
1285	52407	29097
1286	52443	29053
1287	52481	29011
1288	52532	28976
1289	52570	28934
1290	52607	28891
1291	52675	28865
1292	52715	28824
1293	52754	28782
1294	52790	28739
1295	52836	28701
1296	52883	28663
1297	52922	28622
1298	52969	28584
1299	53006	28542
1300	53044	28499
1301	53079	28455
1302	53116	28413
1303	53152	28369
1304	53190	28327
1305	53227	28284
1306	53263	28241
1307	53305	28201
1308	53351	28163
1309	53405	28129
1310	53449	28090
1311	53493	28051
1312	53530	28008
1313	53568	27966
1314	53607	27924
1315	53644	27882
1316	53704	27851
1317	53745	27810
1318	53783	27768
1319	53835	27733
1320	53868	27688
1321	53903	27644
1322	53939	27601
1323	53976	27559
1324	54016	27517
1325	54052	27474
1326	54092	27433
1327	54131	27391
1328	54168	27349
1329	54216	27311
1330	54255	27270
1331	54299	27231
1332	54335	27188
1333	54376	27147
1334	54418	27107
1335	54457	27065
1336	54492	27022
1337	54527	26978
1338	54566	26936
1339	54602	26893
1340	54652	26857
1341	54694	26817
1342	54753	26785
1343	54796	26745
1344	54845	26709
1345	54893	26671
1346	54933	26630
1347	54969	26587
1348	55014	26548
1349	55051	26506
1350	55086	26462
